web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,type_habit,prix,adresse,image_lien
"1738965544-1","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble chemise et pantalon","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-chemise-et-pantalon-5111688","Ensemble chemise et pantalon","","Pikine, Sénégal",""
"1738965547-2","https://sn.coinafrique.com/categorie/vetements-homme","Pantalons homme","https://sn.coinafrique.com/annonce/vetements-homme/pantalons-homme-5111696","Pantalons homme","","Pikine, Sénégal",""
"1738965552-3","https://sn.coinafrique.com/categorie/vetements-homme","Blouson homme","https://sn.coinafrique.com/annonce/vetements-homme/blouson-homme-5113572","Blouson homme","","Parcelle Assainies, Dakar, Sénégal",""
"1738965555-4","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements hommes","https://sn.coinafrique.com/annonce/vetements-homme/vetements-hommes-5113767","Tenue homme","","Ouakam, Dakar, Sénégal",""
"1738965559-5","https://sn.coinafrique.com/categorie/vetements-homme","Pull Hiver","https://sn.coinafrique.com/annonce/vetements-homme/pull-hiver-5114294","Pull Hiver","","Grand Yoff, Dakar, Sénégal",""
"1738965563-6","https://sn.coinafrique.com/categorie/vetements-homme","Jeans Cargo homme","https://sn.coinafrique.com/annonce/vetements-homme/jeans-cargo-homme-5115022","Jeans Cargo homme","","Damel, Dakar, Sénégal",""
"1738965568-7","https://sn.coinafrique.com/categorie/vetements-homme","T-shirt personnalisé pour noël","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-personnalise-pour-noel-5076364","","","",""
"1738965574-8","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble pull-over","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-pull-over-5118036","Ensemble pull-over","","Keur Massar, Sénégal",""
"1738965579-9","https://sn.coinafrique.com/categorie/vetements-homme","Costume africain","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5118945","Costume africain","","Almadies, Dakar, Sénégal",""
"1738965583-10","https://sn.coinafrique.com/categorie/vetements-homme","Costume africain","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5118948","Costume africain","","Ngor, Dakar, Sénégal",""
"1738965587-11","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble africain","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-africain-5119894","Costume africain","","Ngor, Dakar, Sénégal",""
"1738965592-12","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble Costume africain","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-costume-africain-5119898","Costume africain","","Ngor, Dakar, Sénégal",""
"1738965599-13","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements","https://sn.coinafrique.com/annonce/vetements-homme/vetements-5121681","","","",""
"1738965606-14","https://sn.coinafrique.com/categorie/vetements-homme","Tennis de travail","https://sn.coinafrique.com/annonce/vetements-homme/tennis-de-travail-5121968","","","",""
"1738965609-15","https://sn.coinafrique.com/categorie/vetements-homme","Tennis de travail","https://sn.coinafrique.com/annonce/vetements-homme/tennis-de-travail-5121970","Tennis de travail","","Parcelle Assainies, Dakar, Sénégal",""
"1738965614-16","https://sn.coinafrique.com/categorie/vetements-homme","Tennis de sécurité","https://sn.coinafrique.com/annonce/vetements-homme/tennis-de-securite-5121972","Tennis de sécurité","","Parcelle Assainies, Dakar, Sénégal",""
"1738965619-17","https://sn.coinafrique.com/categorie/vetements-homme","Chaussures Adidas pantalon","https://sn.coinafrique.com/annonce/vetements-homme/chaussures-adidas-pantalon-5122595","Chaussures Adidas pantalon","","Almadies, Dakar, Sénégal",""
"1738965624-18","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements","https://sn.coinafrique.com/annonce/vetements-homme/vetements-5123559","Vetement homme","15 000 CFA","Mbao, Dakar, Sénégal",""
"1738965628-19","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5123705","Ensemble homme","","Dakar, Sénégal",""
"1738965633-20","https://sn.coinafrique.com/categorie/vetements-homme","Pull-over à capuche","https://sn.coinafrique.com/annonce/vetements-homme/pull-over-a-capuche-5124119","","","",""
"1738965638-21","https://sn.coinafrique.com/categorie/vetements-homme","Lacoste homme","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5125477","Lacoste homme","","Almadies, Dakar, Sénégal",""
"1738965642-22","https://sn.coinafrique.com/categorie/vetements-homme","Jacket en cuir","https://sn.coinafrique.com/annonce/vetements-homme/jacket-en-cuir-5125921","Jacket en cuir","","Grand Yoff, Dakar, Sénégal",""
"1738965646-23","https://sn.coinafrique.com/categorie/vetements-homme","Costumes homme","https://sn.coinafrique.com/annonce/vetements-homme/costumes-homme-5126225","Costumes homme","","Guediawaye, Dakar, Sénégal",""
"1738965652-24","https://sn.coinafrique.com/categorie/vetements-homme","Jalaba homme","https://sn.coinafrique.com/annonce/vetements-homme/jalaba-homme-5126818","Jalaba homme","","Dakar, Sénégal",""
"1738965657-25","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble pull","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-pull-5129006","Ensemble pull","","Guediawaye, Dakar, Sénégal",""
"1738965661-26","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble short et t-shirt","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-et-t-shirt-5129420","Ensemble short et t-shirt","","Keur Massar, Sénégal",""
"1738965666-27","https://sn.coinafrique.com/categorie/vetements-homme","T-shirt","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-5130442","T-shirt","","Colobane, Dakar, Sénégal",""
"1738965670-28","https://sn.coinafrique.com/categorie/vetements-homme","Jalabe","https://sn.coinafrique.com/annonce/vetements-homme/jalabe-5130694","Jalabe","","Dakar Plateau, Dakar, Sénégal",""
"1738965675-29","https://sn.coinafrique.com/categorie/vetements-homme","Bas large homme","https://sn.coinafrique.com/annonce/vetements-homme/bas-large-homme-5131117","Jogging coton homme","","Dakar, Sénégal",""
"1738965680-30","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5131126","Vetement homme","15 000 CFA","Guediawaye, Dakar, Sénégal",""
"1738965685-31","https://sn.coinafrique.com/categorie/vetements-homme","Chemise homme","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5131485","Chemise homme","","Parcelle Assainies, Dakar, Sénégal",""
"1738965691-32","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble sous-vêtements et caleçon","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-sous-vetements-et-calecon-5133103","Ensemble caleçons + débardeurs  homme","","Dieuppeul-Derklé, Dakar, Sénégal",""
"1738965700-33","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5101945","Ensemble homme","","Colobane, Dakar, Sénégal",""
"1738965706-34","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5137131","Ensemble caleçons + débardeurs  homme","","Dieuppeul-Derklé, Dakar, Sénégal",""
"1738965712-35","https://sn.coinafrique.com/categorie/vetements-homme","Custume africain","https://sn.coinafrique.com/annonce/vetements-homme/custume-africain-5138792","Custume africain","","Hann Bel-Air, Dakar, Sénégal",""
"1738965716-36","https://sn.coinafrique.com/categorie/vetements-homme","Ensembles blouson","https://sn.coinafrique.com/annonce/vetements-homme/ensembles-blouson-5139741","Ensembles blouson","","Dieuppeul-Derklé, Dakar, Sénégal",""
"1738965720-37","https://sn.coinafrique.com/categorie/vetements-homme","Costume africain","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5145144","Costume africain","","Ngor, Dakar, Sénégal",""
"1738965724-38","https://sn.coinafrique.com/categorie/vetements-homme","Pull unique","https://sn.coinafrique.com/annonce/vetements-homme/pull-unique-5147699","Pull unique","","Medina, Dakar, Sénégal",""
"1738965729-39","https://sn.coinafrique.com/categorie/vetements-homme","Pull unique","https://sn.coinafrique.com/annonce/vetements-homme/pull-unique-5147705","Pull unique","","Medina, Dakar, Sénégal",""
"1738965734-40","https://sn.coinafrique.com/categorie/vetements-homme","Djalaba pour homme","https://sn.coinafrique.com/annonce/vetements-homme/djalaba-pour-homme-5105336","Djalaba pour homme","","Colobane, Dakar, Sénégal",""
"1738965738-41","https://sn.coinafrique.com/categorie/vetements-homme","Djialap pour homme","https://sn.coinafrique.com/annonce/vetements-homme/djialap-pour-homme-5104607","Djialap pour homme","","Colobane, Dakar, Sénégal",""
"1738965742-42","https://sn.coinafrique.com/categorie/vetements-homme","Djialabé","https://sn.coinafrique.com/annonce/vetements-homme/djialabe-5147857","Djialabé","","Pikine, Sénégal",""
"1738965748-43","https://sn.coinafrique.com/categorie/vetements-homme","Dialabé homme","https://sn.coinafrique.com/annonce/vetements-homme/dialabe-homme-5149891","Dialabé homme","","Dakar, Sénégal",""
"1738965752-44","https://sn.coinafrique.com/categorie/vetements-homme","T-shirt","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-5149957","T-shirt","","Grand Yoff, Dakar, Sénégal",""
"1738965756-45","https://sn.coinafrique.com/categorie/vetements-homme","Pulls","https://sn.coinafrique.com/annonce/vetements-homme/pulls-5149969","Vêtements homme","","Grand Yoff, Dakar, Sénégal",""
"1738965760-46","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5154152","Vetement homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
"1738965764-47","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5154154","Vetement homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
"1738965768-48","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5154157","Vetement homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
"1738965772-49","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5154161","Vetement homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
"1738965776-50","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5154164","Vetement homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
"1738965781-51","https://sn.coinafrique.com/categorie/vetements-homme","Costume africain","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5155092","Costume africain","","Mbao, Dakar, Sénégal",""
"1738965785-52","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5155250","Vetement homme","Prix sur demande","Mbao, Dakar, Sénégal",""
"1738965790-53","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5155643","Ensemble homme","","Dakar, Sénégal",""
"1738965794-54","https://sn.coinafrique.com/categorie/vetements-homme","Jean Celio","https://sn.coinafrique.com/annonce/vetements-homme/jean-celio-5156025","Jean Celio","","Sicap Liberté, Dakar, Sénégal",""
"1738965799-55","https://sn.coinafrique.com/categorie/vetements-homme","Chemises homme en coton","https://sn.coinafrique.com/annonce/vetements-homme/chemises-homme-en-coton-5156585","Chemises homme en coton","","Sicap Liberté, Dakar, Sénégal",""
"1738965804-56","https://sn.coinafrique.com/categorie/vetements-homme","Lot de caleçons","https://sn.coinafrique.com/annonce/vetements-homme/lot-de-calecons-5156588","Lot de caleçons","","Sicap Liberté, Dakar, Sénégal",""
"1738965808-57","https://sn.coinafrique.com/categorie/vetements-homme","Jogging coton bas large","https://sn.coinafrique.com/annonce/vetements-homme/jogging-coton-bas-large-5159399","Jogging coton homme","","Dakar, Sénégal",""
"1738965812-58","https://sn.coinafrique.com/categorie/vetements-homme","Jogging coton homme","https://sn.coinafrique.com/annonce/vetements-homme/jogging-coton-homme-5159405","Jogging coton homme","","Dakar, Sénégal",""
"1738965817-59","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble 3 Pièces","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-3-pieces-5160811","Ensemble 3 Pièces","","HLM, Dakar, Sénégal",""
"1738965821-60","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5116407","Ensemble homme","","Colobane, Dakar, Sénégal",""
"1738965825-61","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165554","Ensemble homme","","Dakar, Sénégal",""
"1738965830-62","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165558","Ensemble homme","","Dakar, Sénégal",""
"1738965835-63","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165560","Ensemble homme","","Dakar, Sénégal",""
"1738965839-64","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165562","Ensemble homme","","Dakar, Sénégal",""
"1738965843-65","https://sn.coinafrique.com/categorie/vetements-homme","Pantalon","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-5165652","Pantalon","","Colobane, Dakar, Sénégal",""
"1738965847-66","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165738","Ensemble caleçons + débardeurs  homme","","Dieuppeul-Derklé, Dakar, Sénégal",""
"1738965852-67","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5166726","Ensemble homme","","Dakar Plateau, Dakar, Sénégal",""
"1738965856-68","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5166733","Ensemble homme","","Dakar Plateau, Dakar, Sénégal",""
"1738965860-69","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5166739","Ensemble homme","","Dakar Plateau, Dakar, Sénégal",""
"1738965864-70","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble blouson","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-blouson-5166796","Ensemble blouson","","Dakar, Sénégal",""
"1738965869-71","https://sn.coinafrique.com/categorie/vetements-homme","Chemise el hadji","https://sn.coinafrique.com/annonce/vetements-homme/chemise-el-hadji-5119693","Chemises El-Hadji","","Dakar Plateau, Dakar, Sénégal",""
"1738965873-72","https://sn.coinafrique.com/categorie/vetements-homme","Chemises El-Hadji","https://sn.coinafrique.com/annonce/vetements-homme/chemises-el-hadji-5119265","Chemises El-Hadji","","Dakar Plateau, Dakar, Sénégal",""
"1738965879-73","https://sn.coinafrique.com/categorie/vetements-homme","Vetements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5119513","Vetement homme","5 000 CFA","Fass, Dakar, Sénégal",""
"1738965883-74","https://sn.coinafrique.com/categorie/vetements-homme","T-shirt Jules","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-jules-5167839","T-shirt Jules","","Ngor, Dakar, Sénégal",""
"1738965887-75","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble Nike Tech Fleece","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-nike-tech-fleece-5168364","Ensemble Nike Tech Fleece","","Grand Dakar, Dakar, Sénégal",""
"1738965893-76","https://sn.coinafrique.com/categorie/vetements-homme","Lacoste homme","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5171118","Lacoste homme","","Dakar, Sénégal",""
"1738965898-77","https://sn.coinafrique.com/categorie/vetements-homme","Jogging en coton","https://sn.coinafrique.com/annonce/vetements-homme/jogging-en-coton-5151233","Jogging en coton","","Mamelles, Dakar, Sénégal",""
"1738965903-78","https://sn.coinafrique.com/categorie/vetements-homme","Lot de 3 débardeur","https://sn.coinafrique.com/annonce/vetements-homme/lot-de-3-debardeur-5141405","Lot de 3 débardeur","","Dakar Plateau, Dakar, Sénégal",""
"1738965908-79","https://sn.coinafrique.com/categorie/vetements-homme","Chemise homme","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5127408","Chemise homme","","Fass, Dakar, Sénégal",""
"1738965913-80","https://sn.coinafrique.com/categorie/vetements-homme","Débardeur en coton","https://sn.coinafrique.com/annonce/vetements-homme/debardeur-en-coton-5134851","Lot de 3 débardeur","","Dakar Plateau, Dakar, Sénégal",""
"1738965918-81","https://sn.coinafrique.com/categorie/vetements-homme","Djellaba pour homme","https://sn.coinafrique.com/annonce/vetements-homme/djellaba-pour-homme-5141181","Djellaba pour homme","","Fass, Dakar, Sénégal",""
"1738965922-82","https://sn.coinafrique.com/categorie/vetements-homme","Lot de 3 débardeur","https://sn.coinafrique.com/annonce/vetements-homme/lot-de-3-debardeur-5130429","Lot de 3 débardeur","","Dakar Plateau, Dakar, Sénégal",""
"1738965927-83","https://sn.coinafrique.com/categorie/vetements-homme","Sous-vêtements","https://sn.coinafrique.com/annonce/vetements-homme/sous-vetements-5135693","T-shirt à col V","","Fann, Dakar, Sénégal",""
"1738965932-84","https://sn.coinafrique.com/categorie/vetements-homme","Vetement homme","https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-5127469","Vetement homme","5 000 CFA","Fass, Dakar, Sénégal",""
